Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Iran, Islamic Rep.",IRN,97.9,98.0648803710938,98.1443176269531,98.2222137451172,98.3055801391602,98.4014205932617,98.4,98.6524429321289,98.8056030273438,99.71,99.4264602661133,99.4697341918945,99.5292434692383,99.83,100,99.96,99.95,99.94,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Iraq,IRQ,96.8088302612305,96.9349975585938,97.0526123046875,97.1686859130859,97.2902297973633,97.4242477416992,97.6221115649304,98.1,97.9429626464844,98.1476898193359,98.3619613647461,98,99.3,99.0236663818359,99.2385101318359,99.4483795166016,99.6540985107422,99.8843765258789,99.9,99.9910278320313,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ireland,IRL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Isle of Man,IMN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Israel,ISR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Italy,ITA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Jamaica,JAM,84.4334564208984,87.708112,86.681291,86.5382080078125,87.2413787841797,87.95703125,88.6919326782227,89.4476776123047,92,91.0070037841797,92.2,91.1,93.1,93.9,93.3,94.9,96.584846496582,97.3688812255859,98.1504211425781,98.930305480957,99.709358215332
Access to electricity (% of population),EG.ELC.ACCS.ZS,Japan,JPN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Jordan,JOR,99.0069808959961,99.0156631469727,99.5,99.0143966674805,99.173436820348,99.0349884033203,100,98.8,100,99.4,100,99.6003494262695,99.5,99.6945571899414,99.7919235229492,99.8927612304688,99.9518280029297,100,99.9,99.9,99.9
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kazakhstan,KAZ,99.583869934082,99.65,99.81,99.92,99.96,100,99.766547651744,100,100,100,100,99.7974683544304,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kenya,KEN,15.1756944656372,17.0481357574463,18.9120292663574,16,22.6422061920166,24.5225009918213,26.4220523834229,28.3424415588379,30.2800559997559,23,19.2,36.1578636169434,38.1259918212891,40.0921516418457,36,41.6,53.1,55.8319931030273,61.1806144714355,69.7,71.4927139282227
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kiribati,KIR,55.5697860717773,57.2875328063965,58.9967346191406,60.7043991088867,62.4175262451172,69.6764054575327,68.8,67.6536865234375,69.4366073608398,64.19,63.1677367075983,74.850341796875,76.6637725830078,78.8341751098633,83.3857498168945,90.5581814089579,92.569709777832,85.6744232177734,87.4659194946289,89.2557525634766,91.0447616577148
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,26,29.3003063201904,31.4332714080811,33.5681037902832,35.7009696960449,37.8288040161133,39.95166015625,42.0703659057617,44.1857490539551,46.2986450195313,48.4098854064941,50.5202941894531
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Korea, Rep.",KOR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kuwait,KWT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kyrgyz Republic,KGZ,99.5828170776367,99.5297470092773,100,99.4049606323242,99.3472747802734,99.4423076923077,98.89,99.54,99.51,99.5,99,98.32,99.8,98.93,99.8,98.69,99.71,100,100,99.8846740722656,99.865119934082
Access to electricity (% of population),EG.ELC.ACCS.ZS,Lao PDR,LAO,42.5835037231445,45.3184509277344,46.3,48,53.5000419616699,57.2,57.0410587037666,54.96,66,67.4014282226563,70.2244873046875,70,76.3666277465237,79.287239074707,82.5017318725586,89.7,89.0115585327148,93.6,92.9,98.397346496582,99.3113632202148
Access to electricity (% of population),EG.ELC.ACCS.ZS,Latvia,LVA,99.8882141113281,99.8566284179688,99.8041687011719,99.7501602172852,99.7016296386719,99.6655654907227,99.6487579345703,99.6527862548828,99.6740493774414,100,99.7528839111328,99.8027801513672,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Lebanon,LBN,99.3031234741211,99.2822952270508,99.2529144287109,99.2220001220703,99.9,99.1835708618164,99.3838170909681,97.8,99.9,99.3190383911133,99.4995040893555,99.6840109542869,99.5341567993164,99.607048034668,99.6748962402344,99.7377777099609,99.796501159668,99.8519134521484,99.7,99.9504852294922,99.9830703735352
Access to electricity (% of population),EG.ELC.ACCS.ZS,Lesotho,LSO,4.25876010781671,1.29614412784576,3.37206411361694,5.44644403457642,6.8,9.61861228942871,9.7,13.862603187561,16.012243270874,17,17,22.5261287689209,20.56,26.8844661712646,27.8,31.774808883667,35.0725173950195,33.7,47,44.5633964538574,47.497013092041
Access to electricity (% of population),EG.ELC.ACCS.ZS,Liberia,LBR,..,..,..,..,..,..,..,3,1.28270936012268,1.9,5.25559711456299,4.1,9.25131797790527,9.8,9.4,15.2267560958862,17.7,24.2,22.7701358795166,23.1,27.5597496032715
Access to electricity (% of population),EG.ELC.ACCS.ZS,Libya,LBY,99.8,96.9450225830078,95.2321166992188,93.5176696777344,91.8086853027344,90.1121826171875,88.434928894043,86.7785110473633,85.1393280029297,83.5135269165039,81.8972702026367,80.2867279052734,78.6780548095703,77.0674057006836,75.4517288208008,73.8310775756836,72.2062683105469,70.5781478881836,67,68.4728927612305,69.3682632446289
Access to electricity (% of population),EG.ELC.ACCS.ZS,Liechtenstein,LIE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Lithuania,LTU,99.4761962890625,99.4562225341797,99.4277038574219,99.3976440429688,99.3730545043945,99.3609313964844,99.3680725097656,99.3960494995117,99.4412460327148,99.4998321533203,99.7187728881836,99.721565246582,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Luxembourg,LUX,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Macao SAR, China",MAC,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Madagascar,MDG,12.5678052902222,14.8,13.9512720108032,20.3,15.3285789489746,16.0324401855469,16.7555561065674,17.49951171875,18.2606925964356,17.4,12.3,14.3,18.7,12.9,22.975305557251,23.7550201416016,22.9,24.1,36.5,31.04,32
Access to electricity (% of population),EG.ELC.ACCS.ZS,Malawi,MWI,4.8,5.20557737350464,5.55432510375977,6.2,6.9,6.61935663223267,3.65322733295476,7.40900373458862,7.83147192001343,8.26732730865479,8.7,7.6,7.4,9,11.9,10.8,11,12.7,18.02,11.2,11.5
Access to electricity (% of population),EG.ELC.ACCS.ZS,Malaysia,MYS,98.588134765625,98.6218643188477,98.6470489501953,98.6706924438477,98.6997985839844,98.7413864135742,98.8022232055664,98.883903503418,98.9828109741211,99.3,99.4753112792969,99.4963226318359,99.8,99.6032943725586,99.723762512207,99.8620300292969,99.9,99.9786987304688,99.9971542358398,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Maldives,MDV,83.8,87.4576721191406,88.3017501831055,89.1442794799805,89.9922790527344,90.8527526855469,91.7324752807617,92.6330490112305,93.5508346557617,99.9,98.9959869384766,99.0953979492188,99.211051940918,99.3591766357422,100,99.7747268676758,100,99.8,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mali,MLI,9.62523651123047,10.8,13.0359210968018,14.7354507446289,16.4404468536377,18.1579170227051,16.6,21.6522064208984,23.4269962310791,24.0308958348372,27.0128974914551,28.8163280487061,25.6,32.4249649047852,34.2232627868652,37.6,38.7969284057617,34.78,50.9,47.8547897338867,50.6440658569336
Access to electricity (% of population),EG.ELC.ACCS.ZS,Malta,MLT,100,99.9980621337891,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Marshall Islands,MHL,68.6247863769531,70.0503921508789,71.4674453735352,72.8829650878906,74.3039474487305,75.7374038696289,77.1901168823242,72.3,80.1544418334961,81.6586074829102,89.3956832885742,89.919606785433,90.3635482788086,90.888069152832,91.4559173583984,92.0564117431641,92.6724395751953,93.7629470825195,95.2622985839844,96.7599868774414,98.2568511962891
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mauritania,MRT,19.1466331481934,22.2,21.7436180114746,23.0362968444824,24.3344440460205,18.2,26.9749393463135,33.0405405405405,30,31.0749187469482,34.2001838684082,35.3040924072266,36.4242401123047,37.5768547058105,38.8,39.5,41.2455101013184,42.9,43.5892791748047,44.9479293823242,45.4
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mauritius,MUS,99,99.1960372924805,99.4,99.0877151489258,99.0382537841797,99.0012664794922,98.983528137207,98.9866333007813,99.006965637207,99.0406799316406,99.397331237793,99.6,99.3714294433594,99.3990707397461,99.4700317382813,99.5736541748047,99.6927947998047,99.61,99.7866134643555,100,99.4640197753906
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mexico,MEX,98.007132,97.1395645141602,97.897085,97.3593902587891,98.597701,98.932728,99.11416,97.9146041870117,98.914037,98.2967987060547,99.236696,99.0047225952148,99.111637,99.1450500488281,99.172928,99,99.5,100,99.5,99.6,99.4
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Micronesia, Fed. Sts.",FSM,46,48.4449157714844,50.135814666748,51.8251762390137,53.5200042724609,55.2273025512695,56.9538612365723,58.7012557983398,60.4658737182617,62.2438812255859,64.5315202481064,66.2734451293945,67.8273162841797,69.4136505126953,71.2011260986328,72.9842834472656,74.7632827758789,76.5389709472656,78.3121643066406,80.0837020874023,81.8544082641602
Access to electricity (% of population),EG.ELC.ACCS.ZS,Moldova,MDA,98.7317276000977,98.7572402954102,99,98.7896194458008,99.1,98.6,98.8964920043945,98.9699554443359,99.0606384277344,99.1647033691406,99.2783279418945,99.3976516723633,99.5188446044922,99.638069152832,99.7522659301758,99.8614807128906,99.9373474121094,99.98,99.99,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Monaco,MCO,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mongolia,MNG,67.3,71.7201843261719,72.7576370239258,76.3,74.8349227905273,86.2,76.9618835449219,78.0558242797852,79.1669998168945,80.2915573120117,78.502080443828,72.0570749108204,83.7071533203125,81.2,85.9815521240234,87.9682312011719,90.8075485229492,93.6207580566406,98.1,98.9232559204102,99.5021667480469
Access to electricity (% of population),EG.ELC.ACCS.ZS,Montenegro,MNE,99.0928573608398,99.0697402954102,99.0380706787109,99.0048599243164,98.9771194458008,99.830220713073,98.9658432006836,98.9906692504883,99.0327224731445,99.0881576538086,99.1531448364258,99,99.2964019775391,99.7,97.7,99.4931488037109,99.5997543334961,100,100,99.9622802734375,99.8531112670898
Access to electricity (% of population),EG.ELC.ACCS.ZS,Morocco,MAR,69.8122253417969,71.5803680419922,73.339958190918,75.0980072021484,78.2,78.6375198364258,96.5,82.2488555908203,84.082160949707,85.9288635253906,95.7257232666016,96.0747833251953,96.4400863647461,97.2,97.2789535522461,97.3,97.8,100,98.1,99.6,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mozambique,MOZ,6.10147285461426,5.7,8.39782524108887,8.1,10.6880178451538,11.8483219146728,13.0278806686401,12.4,13.5712238463743,15,18.8978042602539,20.2,21.213680267334,22.4122085571289,24.8,24,26.2185955047607,24.3,31.1,29.6864433288574,30.6123828887939
Access to electricity (% of population),EG.ELC.ACCS.ZS,Myanmar,MMR,41.8731880187988,42.9520797729492,47,45.0912322998047,46.1655044555664,47.252254486084,48.3582534790039,49.4850959777832,50.6291618347168,51.7866134643555,48.8,54.1263236999512,55.3009033203125,56.4735107421875,52,60.5,55.6,69.8148365975088,66.1009368896484,68.3115005493164,70.4157409667969
Access to electricity (% of population),EG.ELC.ACCS.ZS,Namibia,NAM,36.5,35.9906425476074,36.8842697143555,37.7763633728027,38.6739196777344,39.5839538574219,40.513240814209,43.7,42.4307174682617,44.1,44.401741027832,42.3,46.3955993652344,47.4,48.3823547363281,51.6,49.7,52.5,52.3216552734375,53.2785835266113,52.3
Access to electricity (% of population),EG.ELC.ACCS.ZS,Nauru,NRU,99.0617446899414,99.0469512939453,99.0236129760742,98.9987335205078,98.9793167114258,98.9723739624023,98.9846954345703,99.8,99.068229675293,99.1319961547852,99.2053070068359,99,99.3652191162109,99.4441452026367,99.5180358886719,99,99.6651840209961,99.8330078125,99.9187850952148,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Nepal,NPL,29.8678035736084,24.6,36.3504791259766,39.5860061645508,37.2,46.0804634094238,51.2,52.6467437744141,55.9575309753418,59.2817039489746,68.6,67.26,75.2146301269531,77.4413909912109,84.9,82.0142288208008,90.7,86.6246566772461,93.92,89.9,89.9
Access to electricity (% of population),EG.ELC.ACCS.ZS,Netherlands,NLD,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,New Caledonia,NCL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,New Zealand,NZL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Nicaragua,NIC,72.9521865844727,72.22158,74.0544357299805,74.5997467041016,75.150520324707,73.821815,76.2962799072266,76.8996276855469,77.5201950073242,77.916313,80.1348571777344,81.2,81.2815093994141,81.8954238891602,81.853073,83.2425537109375,83.9479675292969,84.6272811889648,85.2143325805664,85.661979675293,86.003303527832
Access to electricity (% of population),EG.ELC.ACCS.ZS,Niger,NER,6.48148148148148,8.35133171081543,8.81396484375,9.27505779266357,9.74161720275879,7.1,9.3,11.2380685806274,11.7744216918945,12.324161529541,13.6219692230225,14.3,14.4,15.1519823074341,15.7323713302612,16.6,16.9739780426025,17.5764389038086,17.6,18.4574337005615,18.7219104766846
Access to electricity (% of population),EG.ELC.ACCS.ZS,Nigeria,NGA,43.1799697875977,43.9116973876953,44.634880065918,52.2,46.0836296081543,46.8232154846191,47.5820541381836,50.1309194284432,50.3,49.968921661377,48,55.9,53.0173645019531,55.6,54.1536521911621,52.5,59.3,54.4,56.5,55.4,55.4
Access to electricity (% of population),EG.ELC.ACCS.ZS,North Macedonia,MKD,99.0229949951172,99.0323638916016,99.0331954956055,99.0324783325195,99.42,99.0544509887695,99,99.1482543945313,99.2,99.2,99.4974746704102,99.7261638038337,99.616455078125,99.7195434570313,99.8175964355469,99.9032745361328,99.9661178588867,99.9943161010742,99.8,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Northern Mariana Islands,MNP,100,100,99.9306335449219,99.8723907470703,99.8159484863281,99.77197265625,99.7472534179688,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Norway,NOR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Oman,OMN,100,100,100,99.9964218139648,99.9795761108398,99.94677734375,99.9141540527344,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Pakistan,PAK,72.81689453125,73.8680114746094,74.9105834960938,75.9516143798828,76.9981155395508,78.0570907592773,79.1353149414063,80.2343826293945,81.3506698608398,82.480354309082,87.1227264404297,87.8373413085938,88.5681991577148,89.3315200805664,90.1381759643555,90.9774703979492,91.8323059082031,92.6610260009766,93.3974914550781,93.9,94.4852828979492
Access to electricity (% of population),EG.ELC.ACCS.ZS,Palau,PLW,97.9481735229492,98.001953125,98.0471878051758,98.0908813476563,98.1400451660156,98.9165073295092,98.2825698852539,98.3843002319336,98.5032577514648,98.6355972290039,98.7774887084961,98.9250869750977,97.6304263093788,99.222053527832,99.8103,99.5020065307617,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Panama,PAN,81.4014100930039,81.450798034668,82.1141052246094,87.8,83.4430999755859,84.1228103637695,84.8217697143555,85.5415725708008,86.2786026000977,87.0290145874023,86.85,88.5546493530273,89.3221893310547,89.1,90.8482971191406,91.6038589477539,92.3552703857422,93.7,93.8,93.9,95.3360137939453
Access to electricity (% of population),EG.ELC.ACCS.ZS,Papua New Guinea,PNG,12.3888969421387,12.7382583618164,13.0790719985962,13.4183464050293,13.763087272644,14.1203022003174,12.4,14.894082069397,15.3086166381836,17.2,19.5,17.3279895782471,17.5445442199707,17.7935695648193,18.0859203338623,18.4109210968018,13.5,19.2309398651123,16.6,23.6,20.4961185455322
Access to electricity (% of population),EG.ELC.ACCS.ZS,Paraguay,PRY,89.578857421875,91.04207,91.666443,92.558399,93.249876,94.686886,96.749045,96.452771,96.677896,96.891335,97.43086,98.23656,97.835616,99.015884,99.000716,99.331532,98.4,99.3,99.6,99.7,99.7
Access to electricity (% of population),EG.ELC.ACCS.ZS,Peru,PER,72.496495,72.113111,74.382688,74.380966,75.692357,77.173645,80.157275,81.988131,84.678343,86.42432,88.123061,89.707491,91.099508,92.135365,92.919989,93.852179,94.2,94.8,95.2,95.551360223182,96.2
Access to electricity (% of population),EG.ELC.ACCS.ZS,Philippines,PHL,74.699104309082,75.7276611328125,76.747673034668,76.6,87.6,79.8264999389648,80.18,81.9586791992188,83.3,84.3,85.4832077026367,87.2,87.08,87.5,89.762336730957,89.08,91.9827194213867,93,94.189826965332,95.2904739379883,96.3902893066406
Access to electricity (% of population),EG.ELC.ACCS.ZS,Poland,POL,99.9985198974609,99.9885711669922,99.959846496582,99.911994934082,99.8525772094727,99.8059005737305,99.7784805297852,99.7719039916992,99.7825469970703,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Portugal,PRT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Puerto Rico,PRI,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Qatar,QAT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Romania,ROU,94.4094619750977,94.6490325927734,94.8800582885742,95.1095504760742,95.3445053100586,95.591926574707,95.8586120605469,96.1461334228516,96.4508819580078,96.7690124511719,97.0966949462891,97.4300842285156,97.7653427124023,98.0986328125,98.4268951416016,98.761360168457,99.1,100,99.8226547241211,100,99.9952163696289
Access to electricity (% of population),EG.ELC.ACCS.ZS,Russian Federation,RUS,97.8066482543945,97.8552093505859,97.8952178955078,97.9336853027344,97.9776229858398,98.0340347290039,98.1097030639648,98.2062072753906,98.3199310302734,98.4470520019531,99.2681579589844,99.2094802856445,100,100,100,95.5,99.4102249145508,100,100,99.7779693603516,99.8977813720703
Access to electricity (% of population),EG.ELC.ACCS.ZS,Rwanda,RWA,6.2,4.71917104721069,6.0469560623169,7.3732008934021,8.70491313934326,4.8,11.412540435791,12.796820640564,6,15.6132183074951,9.7,10.8,17.5,15.2,19.8,22.8,29.37,34.1,37.9568328857422,46.6,45.1901092529297
